freq,age,sex,unit,geo\TIME_PERIOD	2016 	2017 	2018 	2019 	2020 	2021 
A,Y15-29,F,P_HTHAB,AT	0.38 	0.13 	0.65 	1.31 	0.79 	0.94 
A,Y15-29,F,P_HTHAB,BG	1.06 	: 	: 	: 	: 	: 
A,Y15-29,F,P_HTHAB,CZ	0.47 	0.48 	: 	0.38 	0.64 	0.39 
A,Y15-29,F,P_HTHAB,DE	1.14 	0.71 	0.87 	0.73 	0.61 	0.48 
A,Y15-29,F,P_HTHAB,DK	1.12 	0.92 	0.36 	0.54 	0.36 	0.55 
A,Y15-29,F,P_HTHAB,EE	0.89 	0.92 	2.82 	: 	0.00 	0.00 
A,Y15-29,F,P_HTHAB,ES	0.43 	0.44 	0.38 	0.63 	0.42 	0.31 
A,Y15-29,F,P_HTHAB,FI	0.63 	1.67 	1.05 	0.21 	: 	: 
A,Y15-29,F,P_HTHAB,FR	0.97 	0.81 	0.46 	0.78 	0.36 	0.58 
A,Y15-29,F,P_HTHAB,HR	0.83 	0.57 	0.29 	0.60 	0.61 	0.00 
A,Y15-29,F,P_HTHAB,HU	0.59 	0.84 	1.05 	0.74 	0.62 	0.38 
A,Y15-29,F,P_HTHAB,IE	0.00 	1.15 	0.68 	0.45 	0.00 	0.44 
A,Y15-29,F,P_HTHAB,IT	: 	0.29 	0.36 	0.23 	0.16 	0.30 
A,Y15-29,F,P_HTHAB,LT	0.00 	0.00 	0.41 	0.86 	1.33 	0.91 
A,Y15-29,F,P_HTHAB,LV	1.20 	5.05 	4.63 	3.44 	5.01 	2.96 
A,Y15-29,F,P_HTHAB,MT	0.00 	0.00 	0.00 	4.32 	0.00 	0.00 
A,Y15-29,F,P_HTHAB,NL	0.32 	0.32 	0.44 	0.56 	0.43 	0.50 
A,Y15-29,F,P_HTHAB,PL	0.14 	0.44 	0.27 	0.38 	0.29 	0.60 
A,Y15-29,F,P_HTHAB,SI	0.00 	0.65 	0.00 	1.36 	0.68 	: 
A,Y15-29,F,P_HTHAB,SK	0.98 	0.81 	1.05 	0.43 	0.44 	5.02 
A,Y15-29,M,P_HTHAB,AT	0.60 	0.48 	1.71 	0.99 	0.88 	0.38 
A,Y15-29,M,P_HTHAB,BG	0.50 	: 	: 	: 	: 	: 
A,Y15-29,M,P_HTHAB,CZ	0.34 	0.46 	: 	0.36 	0.60 	0.37 
A,Y15-29,M,P_HTHAB,DE	1.33 	0.98 	1.01 	0.70 	1.03 	0.89 
A,Y15-29,M,P_HTHAB,DK	1.60 	2.28 	0.87 	3.82 	3.30 	3.15 
A,Y15-29,M,P_HTHAB,EE	2.48 	0.85 	: 	1.81 	2.80 	0.00 
A,Y15-29,M,P_HTHAB,ES	0.64 	1.07 	0.98 	0.99 	0.70 	0.90 
A,Y15-29,M,P_HTHAB,FI	1.99 	1.59 	1.39 	0.80 	: 	: 
A,Y15-29,M,P_HTHAB,FR	3.03 	2.87 	2.51 	2.72 	2.64 	2.89 
A,Y15-29,M,P_HTHAB,HR	0.79 	0.54 	1.12 	0.85 	2.00 	0.00 
A,Y15-29,M,P_HTHAB,HU	0.45 	4.88 	0.57 	0.92 	0.35 	1.07 
A,Y15-29,M,P_HTHAB,IE	0.92 	0.45 	2.67 	1.52 	1.07 	1.07 
A,Y15-29,M,P_HTHAB,IT	0.87 	0.47 	0.87 	0.64 	0.60 	0.70 
A,Y15-29,M,P_HTHAB,LT	2.11 	1.84 	4.28 	4.01 	2.04 	0.42 
A,Y15-29,M,P_HTHAB,LV	3.42 	5.39 	2.50 	5.17 	4.02 	1.38 
A,Y15-29,M,P_HTHAB,MT	0.00 	6.37 	2.04 	1.94 	1.84 	1.93 
A,Y15-29,M,P_HTHAB,NL	0.94 	1.54 	1.10 	1.03 	1.02 	1.26 
A,Y15-29,M,P_HTHAB,PL	0.55 	0.82 	0.88 	0.63 	0.71 	1.02 
A,Y15-29,M,P_HTHAB,SI	0.00 	0.00 	0.62 	0.62 	0.00 	: 
A,Y15-29,M,P_HTHAB,SK	2.45 	5.24 	1.00 	3.30 	1.27 	1.09 
A,Y30-44,F,P_HTHAB,AT	0.46 	1.26 	0.80 	1.03 	0.57 	1.12 
A,Y30-44,F,P_HTHAB,BG	0.27 	: 	: 	: 	: 	: 
A,Y30-44,F,P_HTHAB,CZ	1.32 	0.50 	: 	0.59 	1.03 	0.70 
A,Y30-44,F,P_HTHAB,DE	1.32 	0.91 	1.04 	0.76 	0.84 	0.73 
A,Y30-44,F,P_HTHAB,DK	0.57 	1.52 	1.53 	1.34 	1.54 	0.77 
A,Y30-44,F,P_HTHAB,EE	2.23 	2.23 	0.74 	0.73 	0.73 	1.44 
A,Y30-44,F,P_HTHAB,ES	0.63 	0.57 	0.52 	0.59 	0.50 	0.59 
A,Y30-44,F,P_HTHAB,FI	1.61 	1.00 	1.39 	0.39 	: 	: 
A,Y30-44,F,P_HTHAB,FR	0.81 	1.05 	0.81 	0.94 	0.69 	0.66 
A,Y30-44,F,P_HTHAB,HR	0.48 	0.48 	0.49 	0.50 	1.51 	0.25 
A,Y30-44,F,P_HTHAB,HU	0.82 	0.37 	1.56 	0.47 	1.16 	0.70 
A,Y30-44,F,P_HTHAB,IE	0.18 	0.53 	0.71 	0.70 	0.18 	0.35 
A,Y30-44,F,P_HTHAB,IT	0.42 	0.46 	0.46 	0.51 	0.58 	0.43 
A,Y30-44,F,P_HTHAB,LT	1.45 	2.61 	0.76 	1.55 	1.95 	0.78 
A,Y30-44,F,P_HTHAB,LV	8.03 	3.04 	4.09 	7.20 	7.25 	3.64 
A,Y30-44,F,P_HTHAB,MT	4.26 	0.00 	3.90 	0.00 	1.73 	0.00 
A,Y30-44,F,P_HTHAB,NL	0.70 	0.58 	0.77 	0.70 	0.89 	0.56 
A,Y30-44,F,P_HTHAB,PL	0.41 	0.66 	0.66 	0.47 	0.61 	0.30 
A,Y30-44,F,P_HTHAB,SI	0.46 	0.93 	0.47 	0.94 	0.95 	0.96 
A,Y30-44,F,P_HTHAB,SK	1.56 	1.71 	2.18 	1.88 	3.47 	: 
A,Y30-44,M,P_HTHAB,AT	0.68 	0.91 	1.24 	0.90 	0.78 	1.10 
A,Y30-44,M,P_HTHAB,BG	1.12 	: 	: 	: 	: 	: 
A,Y30-44,M,P_HTHAB,CZ	1.09 	0.62 	: 	1.03 	1.05 	0.49 
A,Y30-44,M,P_HTHAB,DE	1.49 	1.25 	1.38 	1.13 	1.33 	1.01 
A,Y30-44,M,P_HTHAB,DK	2.05 	2.24 	2.44 	0.75 	1.13 	1.69 
A,Y30-44,M,P_HTHAB,EE	5.68 	4.95 	5.57 	3.41 	7.35 	2.64 
A,Y30-44,M,P_HTHAB,ES	1.11 	1.21 	0.92 	1.13 	1.13 	1.10 
A,Y30-44,M,P_HTHAB,FI	2.48 	2.65 	3.56 	1.67 	: 	: 
A,Y30-44,M,P_HTHAB,FR	2.50 	2.15 	2.15 	2.48 	2.34 	2.24 
A,Y30-44,M,P_HTHAB,HR	1.16 	1.64 	1.19 	1.68 	1.68 	1.44 
A,Y30-44,M,P_HTHAB,HU	0.98 	2.35 	0.91 	0.27 	1.02 	0.76 
A,Y30-44,M,P_HTHAB,IE	1.85 	2.41 	1.12 	1.67 	1.87 	0.38 
A,Y30-44,M,P_HTHAB,IT	1.44 	1.03 	1.07 	0.95 	0.97 	0.85 
A,Y30-44,M,P_HTHAB,LT	13.32 	10.94 	9.08 	10.82 	5.78 	6.58 
A,Y30-44,M,P_HTHAB,LV	5.99 	4.03 	7.58 	2.52 	5.02 	2.51 
A,Y30-44,M,P_HTHAB,MT	1.96 	1.89 	1.75 	1.61 	4.36 	1.42 
A,Y30-44,M,P_HTHAB,NL	1.27 	1.60 	0.96 	1.40 	1.01 	0.87 
A,Y30-44,M,P_HTHAB,PL	1.09 	1.43 	1.47 	1.16 	1.38 	1.39 
A,Y30-44,M,P_HTHAB,SI	1.69 	1.27 	0.43 	0.84 	0.42 	: 
A,Y30-44,M,P_HTHAB,SK	2.97 	4.58 	3.10 	4.89 	2.54 	: 
A,Y45-59,F,P_HTHAB,AT	0.60 	0.69 	1.18 	0.89 	0.69 	0.20 
A,Y45-59,F,P_HTHAB,BG	0.67 	: 	: 	: 	: 	: 
A,Y45-59,F,P_HTHAB,CZ	1.19 	0.99 	: 	1.25 	0.65 	0.82 
A,Y45-59,F,P_HTHAB,DE	0.99 	0.70 	0.71 	0.47 	0.50 	0.67 
A,Y45-59,F,P_HTHAB,DK	0.52 	0.17 	0.51 	1.35 	0.34 	0.17 
A,Y45-59,F,P_HTHAB,EE	3.66 	2.95 	: 	0.74 	3.73 	1.50 
A,Y45-59,F,P_HTHAB,ES	0.68 	0.50 	0.51 	0.54 	0.55 	0.31 
A,Y45-59,F,P_HTHAB,FI	0.73 	0.74 	1.32 	0.96 	: 	: 
A,Y45-59,F,P_HTHAB,FR	1.23 	0.84 	0.62 	0.73 	0.63 	0.80 
A,Y45-59,F,P_HTHAB,HR	1.57 	1.35 	0.46 	1.16 	0.71 	0.72 
