freq,iccs,unit,geo\TIME_PERIOD	2016 	2017 	2018 	2019 	2020 	2021 
A,ICCS0101,P_HTHAB,AT	0.56 	0.70 	0.83 	0.84 	0.61 	0.66 
A,ICCS0101,P_HTHAB,BE	1.55 	1.74 	1.68 	1.27 	1.26 	1.26 
A,ICCS0101,P_HTHAB,BG	1.10 	1.34 	1.30 	1.14 	0.95 	1.27 
A,ICCS0101,P_HTHAB,CY	1.30 	0.82 	1.62 	1.48 	1.69 	1.56 
A,ICCS0101,P_HTHAB,CZ	0.62 	0.38 	0.52 	0.76 	0.53 	0.43 
A,ICCS0101,P_HTHAB,DE	0.91 	0.89 	0.76 	0.71 	0.86 	0.76 
A,ICCS0101,P_HTHAB,DK	0.93 	1.06 	0.93 	0.91 	0.88 	0.72 
A,ICCS0101,P_HTHAB,EE	2.51 	2.20 	1.90 	1.74 	2.78 	1.35 
A,ICCS0101,P_HTHAB,EL	0.75 	0.72 	0.88 	0.71 	0.68 	0.83 
A,ICCS0101,P_HTHAB,ES	0.63 	0.66 	0.62 	0.71 	0.63 	0.61 
A,ICCS0101,P_HTHAB,FI	1.75 	1.34 	1.72 	1.50 	1.72 	1.70 
A,ICCS0101,P_HTHAB,FR	1.17 	1.06 	1.04 	1.12 	1.03 	1.08 
A,ICCS0101,P_HTHAB,HR	1.05 	1.11 	0.58 	0.81 	0.99 	0.82 
A,ICCS0101,P_HTHAB,HU	0.93 	0.87 	0.85 	0.59 	0.79 	0.69 
A,ICCS0101,P_HTHAB,IE	0.72 	0.82 	0.81 	0.67 	0.66 	0.44 
A,ICCS0101,P_HTHAB,IT	0.67 	0.62 	0.59 	0.53 	0.48 	0.51 
A,ICCS0101,P_HTHAB,LT	4.92 	3.97 	3.45 	3.01 	3.54 	2.50 
A,ICCS0101,P_HTHAB,LU	0.87 	0.34 	0.50 	0.65 	0.32 	0.47 
A,ICCS0101,P_HTHAB,LV	5.64 	5.59 	5.22 	4.74 	4.88 	5.18 
A,ICCS0101,P_HTHAB,MT	1.11 	1.96 	1.26 	0.81 	1.17 	0.39 
A,ICCS0101,P_HTHAB,NL	0.64 	0.92 	0.69 	0.72 	0.70 	0.72 
A,ICCS0101,P_HTHAB,PL	0.67 	0.73 	0.70 	0.54 	0.69 	0.70 
A,ICCS0101,P_HTHAB,PT	0.64 	0.74 	0.79 	0.71 	0.79 	0.80 
A,ICCS0101,P_HTHAB,RO	1.25 	1.30 	1.37 	1.31 	1.32 	0.99 
