freq,iccs,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,ICCS0101,P_HTHAB,AL	: 	: 	3.38 	1.86 	2.46 	1.81 	1.78 	2.03 	1.83 	2.16 
A,ICCS0101,P_HTHAB,AT	1.05 	0.75 	0.51 	0.49 	0.56 	0.70 	0.83 	0.84 	0.61 	0.66 
A,ICCS0101,P_HTHAB,BA	1.56 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,ICCS0101,P_HTHAB,BE	1.86 	1.83 	1.88 	2.06 	1.55 	1.74 	1.68 	1.27 	1.26 	1.26 
A,ICCS0101,P_HTHAB,BG	1.92 	1.50 	1.55 	1.75 	1.10 	1.34 	1.30 	1.14 	0.95 	1.27 
A,ICCS0101,P_HTHAB,CH	0.57 	0.71 	0.50 	0.69 	0.54 	0.53 	0.59 	0.54 	0.55 	0.48 
A,ICCS0101,P_HTHAB,CY	2.20 	1.27 	1.17 	1.42 	1.30 	0.82 	1.62 	1.48 	1.69 	1.56 
A,ICCS0101,P_HTHAB,CZ	0.90 	0.86 	0.77 	0.84 	0.62 	0.38 	0.52 	0.76 	0.53 	0.43 
A,ICCS0101,P_HTHAB,DE	0.77 	0.77 	0.80 	0.81 	0.91 	0.89 	0.76 	0.71 	0.86 	0.76 
A,ICCS0101,P_HTHAB,DK	0.77 	0.73 	1.10 	0.92 	0.93 	1.06 	0.93 	0.91 	0.88 	0.72 
A,ICCS0101,P_HTHAB,EE	4.75 	3.94 	3.12 	3.80 	2.51 	2.20 	1.90 	1.74 	2.78 	1.35 
A,ICCS0101,P_HTHAB,EL	1.49 	1.28 	0.96 	0.79 	0.75 	0.72 	0.88 	0.71 	0.68 	0.83 
A,ICCS0101,P_HTHAB,ES	0.78 	0.65 	0.69 	0.65 	0.63 	0.66 	0.62 	0.71 	0.63 	0.61 
A,ICCS0101,P_HTHAB,FI	1.98 	1.97 	2.05 	2.12 	1.75 	1.34 	1.72 	1.50 	1.72 	1.70 
A,ICCS0101,P_HTHAB,FR	1.25 	1.22 	1.16 	1.32 	1.17 	1.06 	1.04 	1.12 	1.03 	1.08 
A,ICCS0101,P_HTHAB,HR	1.19 	1.08 	0.85 	0.88 	1.05 	1.11 	0.58 	0.81 	0.99 	0.82 
A,ICCS0101,P_HTHAB,HU	1.14 	1.39 	1.31 	2.05 	0.93 	0.87 	0.85 	0.59 	0.79 	0.69 
A,ICCS0101,P_HTHAB,IE	1.13 	1.11 	1.15 	0.64 	0.72 	0.82 	0.81 	0.67 	0.66 	0.44 
A,ICCS0101,P_HTHAB,IS	0.31 	0.31 	0.61 	0.91 	0.30 	0.89 	0.57 	0.28 	0.82 	0.54 
A,ICCS0101,P_HTHAB,IT	0.89 	0.85 	0.80 	0.77 	0.67 	0.62 	0.59 	0.53 	0.48 	0.51 
A,ICCS0101,P_HTHAB,LI	0.00 	0.00 	2.69 	0.00 	0.00 	2.64 	2.62 	0.00 	2.58 	: 
A,ICCS0101,P_HTHAB,LT	6.03 	5.79 	5.27 	5.75 	4.92 	3.97 	3.45 	3.01 	3.54 	2.50 
A,ICCS0101,P_HTHAB,LU	0.57 	0.37 	0.73 	0.89 	0.87 	0.34 	0.50 	0.65 	0.32 	0.47 
A,ICCS0101,P_HTHAB,LV	4.74 	3.41 	3.85 	4.08 	5.64 	5.59 	5.22 	4.74 	4.88 	5.18 
A,ICCS0101,P_HTHAB,ME	2.42 	1.45 	3.06 	2.73 	3.86 	1.77 	2.09 	3.38 	2.57 	2.26 
A,ICCS0101,P_HTHAB,MK	1.36 	0.97 	1.21 	1.01 	0.82 	1.21 	: 	: 	: 	: 
A,ICCS0101,P_HTHAB,MT	2.39 	1.42 	1.41 	0.93 	1.11 	1.96 	1.26 	0.81 	1.17 	0.39 
A,ICCS0101,P_HTHAB,NL	: 	0.88 	0.86 	0.71 	0.64 	0.92 	0.69 	0.72 	0.70 	0.72 
A,ICCS0101,P_HTHAB,NO	0.54 	0.93 	0.57 	0.46 	0.52 	0.53 	0.47 	0.53 	0.58 	0.54 
A,ICCS0101,P_HTHAB,PL	0.99 	0.78 	0.74 	0.76 	0.67 	0.73 	0.70 	0.54 	0.69 	0.70 
A,ICCS0101,P_HTHAB,PT	1.16 	1.37 	0.88 	0.96 	0.64 	0.74 	0.79 	0.71 	0.79 	0.80 
A,ICCS0101,P_HTHAB,RO	1.88 	1.68 	1.49 	1.46 	1.25 	1.30 	1.37 	1.31 	1.32 	0.99 
A,ICCS0101,P_HTHAB,RS	1.44 	1.84 	1.60 	1.35 	1.50 	1.12 	1.49 	1.15 	1.10 	1.06 
A,ICCS0101,P_HTHAB,SE	0.72 	0.91 	0.90 	1.15 	1.08 	1.13 	1.07 	1.09 	1.20 	1.09 
A,ICCS0101,P_HTHAB,SI	0.68 	0.58 	0.82 	0.97 	0.48 	0.92 	0.44 	0.67 	0.52 	0.43 
A,ICCS0101,P_HTHAB,SK	1.39 	1.44 	1.33 	0.89 	1.11 	1.47 	1.23 	1.39 	1.15 	1.01 
A,ICCS0101,P_HTHAB,TR	2.42 	: 	: 	: 	: 	: 	2.43 	2.24 	2.35 	2.35 
A,ICCS0101,P_HTHAB,UKC-L	0.97 	0.92 	0.89 	0.95 	1.16 	1.20 	1.14 	: 	: 	: 
A,ICCS0101,P_HTHAB,UKM	1.19 	1.15 	1.16 	1.10 	1.15 	1.09 	1.10 	: 	: 	: 
A,ICCS0101,P_HTHAB,UKN	1.15 	1.09 	0.93 	1.30 	0.97 	1.29 	1.23 	: 	: 	: 
A,ICCS0101,P_HTHAB,XK	: 	: 	: 	: 	1.64 	1.85 	2.39 	1.28 	1.57 	: 
A,ICCS0102,P_HTHAB,AL	: 	: 	6.25 	4.78 	4.57 	4.48 	3.97 	3.25 	4.01 	3.57 
A,ICCS0102,P_HTHAB,AT	1.30 	1.24 	0.82 	1.12 	1.14 	1.72 	1.48 	1.93 	1.49 	1.35 
