freq,age,sex,unit,geo\TIME_PERIOD	2016 	2017 	2018 	2019 	2020 	2021 
A,TOTAL,T,RAT,AT	4.09 	4.29 	4.04 	4.17 	4.11 	4.08 
A,TOTAL,T,RAT,BE	3.85 	3.84 	3.79 	3.61 b	3.65 	3.42 
A,TOTAL,T,RAT,BG	7.69 b	8.23 	7.66 	8.10 	8.01 	7.45 
A,TOTAL,T,RAT,CY	4.88 	4.56 	4.29 	4.58 	4.31 	4.23 
A,TOTAL,T,RAT,CZ	3.50 	3.40 	3.32 	3.34 	3.34 	3.43 
A,TOTAL,T,RAT,DE	4.62 	4.49 	5.07 	4.89 	4.87 b	4.98 
A,TOTAL,T,RAT,DK	4.06 	4.08 	4.11 	4.09 	4.00 b	3.93 
A,TOTAL,T,RAT,EE	5.56 	5.42 	5.07 	5.08 	5.03 	5.03 
A,TOTAL,T,RAT,EL	6.55 	6.11 	5.51 	5.11 	5.23 	5.79 
A,TOTAL,T,RAT,ES	6.60 	6.59 	6.03 	5.94 	5.77 	6.19 
A,TOTAL,T,RAT,FI	3.58 	3.54 	3.65 	3.69 	3.72 	3.58 
A,TOTAL,T,RAT,FR	4.32 	4.31 	4.23 	4.27 	4.42 b	4.41 
A,TOTAL,T,RAT,HR	5.00 	5.03 	5.00 	4.76 	4.61 	4.78 
A,TOTAL,T,RAT,HU	4.26 	4.27 	4.35 	4.23 	4.16 	4.15 
A,TOTAL,T,RAT,IE	4.45 	4.63 	4.23 	4.03 	4.07 b	3.83 
A,TOTAL,T,RAT,IT	6.27 	5.92 	6.09 	6.01 	5.75 	5.86 
A,TOTAL,T,RAT,LT	7.06 	7.28 	7.09 	6.44 	6.14 	6.14 
A,TOTAL,T,RAT,LU	4.62 b	4.56 	5.18 	5.34 	4.99 b	4.59 b
A,TOTAL,T,RAT,LV	6.20 	6.30 	6.78 	6.54 	6.27 	6.63 
A,TOTAL,T,RAT,MT	4.22 	4.21 	4.28 	4.18 	4.69 	5.03 
A,TOTAL,T,RAT,NL	3.93 b	3.99 	4.05 	3.94 	4.15 	3.88 
A,TOTAL,T,RAT,PL	4.76 	4.56 	4.25 	4.37 	4.07 	4.03 
A,TOTAL,T,RAT,PT	5.88 	5.75 	5.22 	5.16 	4.99 	5.66 
A,TOTAL,T,RAT,RO	7.20 	6.45 	7.21 	7.08 	6.62 	7.14 
A,TOTAL,T,RAT,SE	4.25 	4.27 	4.13 	4.33 	4.12 	4.04 
A,TOTAL,T,RAT,SI	3.56 	3.42 	3.38 	3.39 	3.32 	3.24 
A,TOTAL,T,RAT,SK	3.63 	3.49 	3.03 	3.34 	3.03 	3.20 
