freq,sex,age,unit,isced11,geo\TIME_PERIOD	2016 	2017 	2018 	2019 	2020 	2021 
A,T,Y25-34,PC,ED5-8,AT	39.7 	40.3 	40.5 	41.6 	41.4 	42.4 b
A,T,Y25-34,PC,ED5-8,BE	44.3 	45.7 b	47.4 	47.3 	48.5 	50.9 b
A,T,Y25-34,PC,ED5-8,BG	32.8 	33.4 	34.0 	32.7 	33.0 	33.6 b
A,T,Y25-34,PC,ED5-8,CY	56.2 	57.0 	58.5 	60.3 	57.8 	58.3 b
A,T,Y25-34,PC,ED5-8,CZ	32.6 	33.8 	33.3 	32.6 	33.0 	34.9 b
A,T,Y25-34,PC,ED5-8,DE	30.5 	31.3 	32.3 	33.3 	35.3 b	36.9 b
A,T,Y25-34,PC,ED5-8,DK	44.6 b	45.5 b	45.8 	47.1 	47.1 	49.7 b
A,T,Y25-34,PC,ED5-8,EE	39.1 	40.9 	41.1 	40.6 	40.1 	43.2 b
A,T,Y25-34,PC,ED5-8,EL	41.0 	42.5 	42.8 	42.4 	43.7 	44.2 b
A,T,Y25-34,PC,ED5-8,ES	41.0 	42.6 	44.3 	46.5 	47.4 	48.7 b
A,T,Y25-34,PC,ED5-8,FI	40.7 	40.3 	40.3 	42.0 	43.8 	40.1 b
A,T,Y25-34,PC,ED5-8,FR	44.2 	44.5 	47.0 	48.2 	49.4 	50.3 b
A,T,Y25-34,PC,ED5-8,HR	32.8 	32.7 	35.4 	35.5 	36.6 	35.7 b
A,T,Y25-34,PC,ED5-8,HU	30.4 	30.2 	30.6 	30.6 	30.7 	32.9 b
A,T,Y25-34,PC,ED5-8,IE	54.3 	54.7 b	56.2 	55.4 	58.4 	61.7 b
A,T,Y25-34,PC,ED5-8,IT	25.6 	26.9 	27.7 	27.7 	28.9 	28.3 b
A,T,Y25-34,PC,ED5-8,LT	54.9 	55.6 	55.6 	55.2 	56.2 	57.5 b
A,T,Y25-34,PC,ED5-8,LU	51.5 	51.3 u	53.7 	56.1 	60.6 	62.6 b
A,T,Y25-34,PC,ED5-8,LV	42.1 	41.6 	41.6 	43.8 	44.2 	45.5 b
A,T,Y25-34,PC,ED5-8,MT	34.3 	34.9 	39.9 	40.8 	40.1 	42.5 b
A,T,Y25-34,PC,ED5-8,NL	45.2 	46.6 	47.6 	49.1 b	52.3 	55.6 b
A,T,Y25-34,PC,ED5-8,PL	43.5 	43.6 	43.5 	43.5 	42.4 	40.6 b
A,T,Y25-34,PC,ED5-8,PT	35.0 	34.0 	35.1 	37.4 	41.9 	47.5 b
A,T,Y25-34,PC,ED5-8,RO	24.8 	25.6 	24.9 	25.5 	24.9 	23.3 b
A,T,Y25-34,PC,ED5-8,SE	47.3 	47.4 	47.6 b	48.4 	49.2 	49.3 b
A,T,Y25-34,PC,ED5-8,SI	43.0 	44.5 	40.7 	44.1 	45.4 	47.9 b
A,T,Y25-34,PC,ED5-8,SK	33.4 	35.1 	37.2 	39.2 	39.0 	39.5 b
