freq,sex,age,unit,geo\TIME_PERIOD	2016 	2017 	2018 	2019 	2020 	2021 
A,T,Y15-29,PC_POP,AT	9.3 	8.8 	8.8 	8.6 	9.9 	9.4 
A,T,Y15-29,PC_POP,BE	12.2 	11.8 b	11.4 	11.2 	11.3 	10.1 b
A,T,Y15-29,PC_POP,BG	22.4 	18.9 	18.2 	16.7 	18.2 	17.6 
A,T,Y15-29,PC_POP,CY	18.0 	17.6 	14.9 	14.1 	15.3 	15.4 
A,T,Y15-29,PC_POP,CZ	11.1 	10.0 	9.5 	9.8 	11.0 	10.9 
A,T,Y15-29,PC_POP,DE	10.0 	9.6 	9.0 	8.6 	9.6 b	9.5 
A,T,Y15-29,PC_POP,DK	8.4 b	9.8 b	9.6 	9.6 	10.2 	8.3 
A,T,Y15-29,PC_POP,EE	13.3 	10.5 	11.5 	9.7 	11.1 	11.2 
A,T,Y15-29,PC_POP,EL	21.9 	21.0 	19.2 	17.5 	18.5 	17.2 
A,T,Y15-29,PC_POP,ES	18.1 	16.4 	15.3 	14.9 	17.3 	14.1 d
A,T,Y15-29,PC_POP,FI	11.2 	10.4 	9.6 	9.1 	9.8 	9.2 
A,T,Y15-29,PC_POP,FR	13.6 	13.2 	12.9 	12.4 	13.4 	12.8 d
A,T,Y15-29,PC_POP,HR	19.5 	17.9 	15.6 	14.2 	14.6 	14.9 
A,T,Y15-29,PC_POP,HU	12.0 	11.2 	10.6 	11.0 	12.3 	11.7 
A,T,Y15-29,PC_POP,IE	14.5 	12.8 	11.6 	11.4 	14.1 	9.8 
A,T,Y15-29,PC_POP,IT	24.4 	24.2 	23.5 	22.3 	23.5 	23.1 
A,T,Y15-29,PC_POP,LT	10.7 	10.2 	9.3 	10.9 	13.0 	12.7 
A,T,Y15-29,PC_POP,LU	6.8 	6.6 	7.5 	6.5 	7.7 	8.8 
A,T,Y15-29,PC_POP,LV	13.3 	12.3 	11.6 	10.2 	11.9 	12.1 
A,T,Y15-29,PC_POP,MT	9.4 	8.8 	7.3 	7.9 	9.5 	9.5 
A,T,Y15-29,PC_POP,NL	6.9 	6.5 	6.3 	6.3 	6.3 	3.9 
A,T,Y15-29,PC_POP,PL	14.0 	13.0 	12.2 	12.0 	13.1 	13.4 
A,T,Y15-29,PC_POP,PT	12.8 	10.6 	9.6 	9.2 	11.0 	9.5 
A,T,Y15-29,PC_POP,RO	24.3 	22.1 	21.3 	20.9 	20.6 	20.3 
A,T,Y15-29,PC_POP,SE	6.7 	6.4 	6.5 b	5.9 	6.9 	6.0 
A,T,Y15-29,PC_POP,SI	9.3 	7.9 	7.5 	7.5 	7.9 	7.3 
A,T,Y15-29,PC_POP,SK	15.1 	15.1 	13.8 	13.7 	14.4 	14.2 
